Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2019-12-30,,,,,29.0,7.0,63.0,124.0,,,,,,
2019-12-31,,,,,31.0,6.0,64.0,108.0,99.2,,,,,
2020-01-01,,,,,26.0,6.0,52.0,83.0,99.1,,,,,
2020-01-02,,,19.3,95.7,21.0,8.0,31.0,49.0,99.0,1007.8,,20.0,,2.0
2020-01-03,,,19.2,92.3,25.0,10.0,35.0,48.0,,1007.2,,20.4,,2.0
2020-01-04,,,19.6,94.0,22.0,11.0,37.0,60.0,99.0,1004.8,,20.0,,1.0
2020-01-05,,,18.8,87.8,21.0,17.0,32.0,48.0,,1003.9,,20.7,,1.0
2020-01-06,,,19.5,92.3,19.0,12.0,31.0,50.0,,1002.8,,20.3,,2.0
2020-01-07,,,20.6,90.7,19.0,6.0,34.0,54.0,,1002.9,,22.2,,1.0
2020-01-08,,,19.2,89.4,29.0,11.0,33.0,51.0,,1003.2,,20.5,,2.0
2020-01-09,,,20.2,94.0,20.0,12.0,33.0,53.0,99.6,1001.6,,20.7,,2.0
2020-01-10,,,20.7,95.8,17.0,10.0,28.0,48.0,99.1,1000.1,,21.4,,2.0
2020-01-11,,,19.9,94.0,18.0,5.0,33.0,55.0,,1000.1,,20.4,,1.0
2020-01-12,,,14.4,90.2,14.0,7.0,28.0,40.0,99.0,1003.4,,16.0,,1.0
2020-01-13,,,15.7,91.4,28.0,2.0,54.0,79.0,99.0,1001.7,,18.4,,1.0
2020-01-14,,,20.1,97.6,27.0,5.0,49.0,92.0,0.1,1001.0,,20.5,,1.0
2020-01-15,,,20.0,95.8,20.0,10.0,33.0,45.0,99.1,1000.3,,20.5,,3.0
2020-01-16,,,19.7,89.0,23.0,6.0,34.0,45.0,99.1,1001.8,,20.3,,2.0
2020-01-17,,,16.6,93.9,15.0,2.0,33.0,50.0,,1004.7,,18.0,,1.0
2020-01-18,,,15.8,95.6,22.0,2.0,48.0,85.0,99.1,1003.4,,16.4,,2.0
2020-01-19,,,14.8,93.2,15.0,4.0,43.0,82.0,99.1,1006.1,,16.2,,2.0
2020-01-20,,,13.9,96.2,22.0,2.0,60.0,127.0,99.1,1006.2,,14.5,,2.0
2020-01-21,,,19.5,94.0,20.0,4.0,57.0,117.0,99.0,1005.3,,19.5,,1.0
2020-01-22,,,20.6,97.0,18.0,7.0,40.0,60.0,99.1,1003.0,,21.1,,2.0
2020-01-23,,,20.8,94.1,16.0,10.0,26.0,45.0,,1000.8,,21.6,,2.0
2020-01-24,,,20.4,91.7,11.0,8.0,30.0,54.0,99.4,1000.4,,21.5,,2.0
2020-01-25,,,18.6,99.3,8.0,9.0,6.0,11.0,0.4,999.2,,18.6,,2.0
2020-01-26,,,10.8,76.0,14.0,7.0,14.0,17.0,99.8,1003.1,,15.0,,2.0
2020-01-27,,,9.9,75.0,15.0,9.0,17.0,27.0,,1002.3,,14.5,,2.0
2020-01-28,,,11.9,83.3,16.0,6.0,28.0,48.0,,1004.1,,14.2,,2.0
2020-01-29,,,10.1,78.3,12.0,10.0,42.0,68.0,99.0,1007.4,,13.8,,2.0
2020-01-30,,,9.7,73.4,21.0,14.0,40.0,72.0,,1007.5,,14.1,,2.0
2020-01-31,,,11.1,74.7,23.0,10.0,51.0,75.0,,1006.0,,16.6,,2.0
2020-02-01,,,15.2,95.6,29.0,7.0,41.0,73.0,99.0,1004.5,,16.1,,1.0
2020-02-02,,,17.5,97.5,22.0,4.0,44.0,74.0,99.0,1005.1,,17.9,,2.0
2020-02-03,,,18.1,95.7,21.0,4.0,41.0,72.0,,1003.3,,18.5,,2.0
2020-02-04,,,15.4,95.0,17.0,2.0,29.0,51.0,99.4,1004.4,,15.6,,1.0
2020-02-05,,,15.0,100.0,19.0,2.0,42.0,74.0,0.2,1003.8,,15.0,,2.0
2020-02-06,,,19.0,90.6,19.0,2.0,46.0,85.0,99.1,1002.1,,20.0,,1.0
2020-02-07,,,18.7,95.7,18.0,2.0,32.0,56.0,99.2,1004.8,,19.4,,1.0
2020-02-08,,,17.8,92.7,18.0,6.0,34.0,61.0,,1007.2,,18.4,,2.0
2020-02-09,,,15.6,95.6,14.0,6.0,20.0,32.0,,1010.6,,16.0,,2.0
2020-02-10,,,,,19.0,3.0,32.0,56.0,,,,,,
2020-02-11,,,,,22.0,5.0,46.0,81.0,,,,,,
2020-02-12,,,,,21.0,8.0,38.0,64.0,,,,,,
2020-02-13,,,,,15.0,5.0,24.0,45.0,,,,,,
2020-02-14,,,,,13.0,5.0,17.0,32.0,,,,,,
2020-02-17,,,,,20.0,10.0,54.0,49.0,,,,,,
2020-02-18,,,,,25.0,12.0,60.0,52.0,,,,,,
2020-02-19,,,,,34.0,3.0,67.0,89.0,,,,,,
2020-02-20,,,,,28.0,4.0,56.0,110.0,,,,,,
2020-02-21,,,,,25.0,9.0,48.0,81.0,,,,,,
2020-02-22,,,,,21.0,13.0,57.0,105.0,,,,,,
2020-02-23,,,,,19.0,10.0,60.0,94.0,,,,,,
2020-02-24,,,,,16.0,15.0,41.0,64.0,,,,,,
2020-02-25,,1.0,18.8,89.4,15.0,10.0,34.0,54.0,,1002.6,,19.6,,2.0
2020-02-26,,4.0,18.9,92.3,14.0,2.0,27.0,33.0,,1004.1,1.0,20.5,,2.0
2020-02-27,,8.0,19.1,83.6,18.0,4.0,32.0,25.0,,1003.3,7.0,21.1,,1.0
2020-02-28,,8.0,20.2,93.4,17.0,9.0,23.0,26.0,,1001.9,8.0,20.6,,2.0
2020-02-29,,8.0,19.8,90.7,16.0,6.0,26.0,21.0,,999.8,8.0,20.8,,2.0
2020-03-01,,8.0,20.8,94.1,18.0,6.0,28.0,31.0,99.0,999.4,8.0,21.8,,2.0
2020-03-02,,,20.8,93.5,16.0,6.0,26.0,43.0,,1000.5,,21.8,,2.0
2020-03-03,,,,,13.0,4.0,22.0,40.0,3.0,,,,,
2020-03-04,,,,,13.0,8.0,11.0,19.0,0.6,,,,,
2020-03-05,,,15.7,95.6,14.0,6.0,11.0,20.0,0.4,1004.0,,16.4,,2.0
2020-03-06,,,17.8,96.9,17.0,3.0,27.0,44.0,0.2,1000.8,,18.3,,2.0
2020-03-07,,,20.0,98.2,19.0,6.0,27.0,44.0,99.3,997.9,,20.2,,1.0
2020-03-08,,,22.3,91.9,13.0,8.0,27.0,42.0,,992.0,,23.0,,2.0
2020-03-09,,,22.4,96.4,15.0,10.0,34.0,52.0,,991.1,,22.7,,1.0
2020-03-10,,,18.8,83.6,20.0,9.0,51.0,61.0,,998.6,,21.9,,2.0
2020-03-11,,,17.9,79.9,28.0,7.0,55.0,63.0,,1000.6,,20.6,,2.0
2020-03-12,,,21.3,98.2,19.0,7.0,31.0,58.0,99.5,998.6,,21.6,,1.0
2020-03-13,,,22.8,98.2,11.0,5.0,19.0,32.0,99.4,999.1,,23.2,,2.0
2020-03-14,,,20.3,97.0,15.0,5.0,43.0,53.0,0.6,1002.9,,21.2,,1.0
2020-03-15,,,18.6,91.1,24.0,9.0,52.0,85.0,99.1,1003.4,,19.6,,1.0
2020-03-16,,,21.1,100.0,24.0,5.0,19.0,35.0,99.5,1001.5,,21.2,,1.0
2020-03-17,,,21.7,98.2,18.0,6.0,36.0,62.0,0.4,1001.2,,21.8,,2.0
2020-03-18,,,20.0,97.6,18.0,5.0,28.0,45.0,0.2,999.6,,20.3,,1.0
2020-03-19,,,19.8,100.0,13.0,3.0,19.0,36.0,0.4,999.5,,19.8,,2.0
2020-03-20,,,19.4,98.8,14.0,5.0,24.0,39.0,99.3,1000.1,,19.6,,2.0
2020-03-21,,,22.5,98.2,14.0,6.0,28.0,51.0,0.1,999.3,,23.2,,2.0
2020-03-22,,,22.9,96.4,12.0,8.0,23.0,36.0,99.2,998.9,,23.3,,2.0
2020-03-23,,,22.4,89.1,12.0,8.0,27.0,33.0,,999.0,,23.3,,2.0
2020-03-24,,,22.4,90.7,11.0,7.0,20.0,33.0,,998.8,,23.5,,1.0
2020-03-25,,,23.4,94.7,10.0,10.0,24.0,32.0,99.2,997.2,,24.0,,3.0
2020-03-26,,,23.5,94.7,9.0,10.0,21.0,34.0,0.2,996.3,,24.6,,3.0
2020-03-27,,,24.0,93.6,11.0,9.0,22.0,35.0,99.0,995.5,,24.8,,2.0
2020-03-28,,,23.4,90.7,12.0,10.0,36.0,54.0,,997.0,,24.6,,2.0
2020-03-29,,,23.3,91.8,10.0,9.0,29.0,40.0,,995.3,,24.6,,2.0
2020-03-30,,,22.7,94.1,10.0,6.0,26.0,36.0,,995.1,,23.8,,2.0
2020-03-31,,,19.3,98.8,12.0,4.0,28.0,49.0,99.4,998.5,,19.3,,2.0
2020-04-01,,,18.9,97.5,10.0,4.0,37.0,58.0,99.1,999.0,,19.6,,1.0
2020-04-02,,,20.3,98.2,12.0,5.0,31.0,56.0,0.3,998.8,,20.3,,1.0
2020-04-03,,,22.1,94.1,13.0,4.0,38.0,58.0,99.0,999.2,,22.4,,1.0
2020-04-04,,,20.6,97.0,13.0,4.0,22.0,35.0,99.1,1002.3,,20.6,,1.0
2020-04-05,,,17.0,98.7,7.0,5.0,12.0,21.0,0.1,1004.1,,17.1,,2.0
2020-04-06,,,16.1,97.5,12.0,5.0,11.0,18.0,0.2,1002.7,,16.6,,2.0
2020-04-07,,,16.8,92.8,14.0,5.0,18.0,33.0,99.6,1001.5,,17.3,,2.0
2020-04-08,,,18.2,93.9,19.0,5.0,42.0,76.0,0.2,1001.9,,18.8,,2.0
2020-04-09,,,19.2,87.8,14.0,6.0,40.0,61.0,,1002.9,,21.2,,1.0
2020-04-10,,,21.7,90.6,18.0,7.0,33.0,55.0,,1001.5,,22.6,,1.0
2020-04-11,,,22.4,90.9,15.0,6.0,30.0,52.0,99.0,999.9,,23.2,,1.0
2020-04-12,,,16.3,85.2,13.0,12.0,38.0,43.0,,1004.6,,19.0,,3.0
2020-04-13,,,13.2,89.0,14.0,12.0,39.0,59.0,0.3,1006.1,,15.0,,3.0
2020-04-14,,,13.9,81.7,12.0,20.0,31.0,45.0,,1004.0,,19.2,,3.0
2020-04-15,,,19.1,88.7,15.0,20.0,44.0,63.0,,1000.4,,21.0,,1.0
2020-04-16,,,21.0,92.3,18.0,10.0,34.0,57.0,,998.0,,22.4,,2.0
2020-04-17,,,22.3,94.7,17.0,7.0,33.0,52.0,99.4,999.0,,23.3,,2.0
2020-04-18,,,23.7,92.5,14.0,9.0,25.0,44.0,99.1,997.7,,24.5,,2.0
2020-04-19,,,24.1,93.1,10.0,7.0,23.0,37.0,,996.9,,25.0,,2.0
2020-04-20,,,24.3,93.0,10.0,8.0,19.0,31.0,,996.7,,25.4,,2.0
2020-04-21,,,24.1,93.1,9.0,9.0,16.0,28.0,,996.0,,25.2,,2.0
2020-04-22,,,23.4,90.1,13.0,5.0,20.0,36.0,0.1,997.7,,24.6,,1.0
2020-04-23,,,19.5,90.5,14.0,7.0,14.0,23.0,0.2,1001.7,,20.8,,2.0
2020-04-24,,,16.1,93.9,13.0,9.0,12.0,20.0,0.9,1005.3,,16.8,,2.0
2020-04-25,,,15.8,89.8,13.0,8.0,27.0,35.0,99.2,1005.0,,18.4,,2.0
2020-04-26,,,17.0,81.9,11.0,9.0,28.0,45.0,99.3,1005.4,,19.5,,2.0
2020-04-27,,,17.5,69.4,13.0,12.0,37.0,48.0,,1004.7,,22.5,,2.0
2020-04-28,,,18.6,76.1,16.0,15.0,40.0,64.0,,1003.2,,22.8,,2.0
2020-04-29,,,20.7,84.3,15.0,14.0,39.0,54.0,,1001.9,,23.0,,2.0
2020-04-30,,,22.4,88.6,12.0,11.0,26.0,38.0,,1000.6,,23.5,,2.0
2020-05-01,,,23.3,95.3,8.0,10.0,17.0,29.0,,997.8,,23.6,,2.0
2020-05-02,,,24.4,93.1,8.0,8.0,17.0,27.0,99.1,995.8,,25.6,,2.0
2020-05-03,,,25.3,94.2,10.0,8.0,12.0,19.0,,995.4,,26.2,,1.0
2020-05-04,,,25.3,91.0,10.0,11.0,10.0,18.0,,994.9,,26.5,,2.0
2020-05-05,,,25.3,93.1,9.0,10.0,12.0,19.0,,994.2,,26.4,,2.0
2020-05-06,,,25.5,91.5,9.0,9.0,12.0,19.0,,993.1,,26.4,,2.0
2020-05-07,,,25.9,92.6,9.0,11.0,13.0,21.0,,992.3,,27.1,,3.0
2020-05-08,,,26.1,92.6,10.0,14.0,14.0,23.0,,992.7,,27.4,,3.0
2020-05-09,,,25.5,86.1,11.0,14.0,18.0,30.0,99.7,993.5,,27.0,,2.0
2020-05-10,,,26.3,91.5,11.0,15.0,17.0,28.0,,994.2,,27.6,,2.0
2020-05-11,,,26.2,89.4,9.0,13.0,13.0,21.0,,995.5,,27.8,,2.0
2020-05-12,,,25.0,91.5,14.0,12.0,16.0,26.0,5.9,997.7,,26.8,,2.0
2020-05-13,,,24.5,91.5,13.0,13.0,19.0,26.0,,996.9,,26.0,,1.0
2020-05-14,,,25.0,88.2,12.0,13.0,12.0,20.0,0.3,995.2,,26.4,,2.0
2020-05-15,,,25.9,90.5,11.0,13.0,12.0,18.0,,992.0,,27.6,,2.0
2020-05-16,,,26.0,91.0,11.0,13.0,11.0,19.0,99.0,991.8,,27.6,,3.0
2020-05-17,,,25.4,87.8,11.0,14.0,11.0,18.0,2.6,991.6,,27.0,,1.0
2020-05-18,,,25.3,92.1,19.0,12.0,14.0,19.0,99.6,990.3,,27.2,,1.0
2020-05-19,,,26.1,85.8,16.0,16.0,15.0,24.0,,990.6,,27.8,,1.0
2020-05-20,,,27.6,86.5,13.0,19.0,14.0,24.0,,989.3,,30.1,,2.0
2020-05-21,,,27.5,81.3,15.0,18.0,21.0,24.0,,987.9,,31.2,,1.0
2020-05-22,,,27.0,78.4,23.0,14.0,24.0,28.0,,989.6,,30.4,,
2020-05-23,,,26.7,88.9,17.0,15.0,24.0,34.0,99.0,992.7,,28.0,,1.0
2020-05-24,,,26.5,88.4,16.0,17.0,28.0,31.0,,993.4,,28.2,,1.0
2020-05-25,,,27.3,84.3,12.0,18.0,14.0,19.0,99.0,993.1,,29.8,,2.0
2020-05-26,,,25.3,80.8,18.0,12.0,22.0,24.0,99.0,994.5,,28.0,,2.0
2020-05-27,,,23.7,81.7,20.0,13.0,18.0,25.0,1.7,996.3,,26.6,,2.0
2020-05-28,,,24.5,82.7,16.0,16.0,23.0,33.0,,996.8,,27.2,,1.0
2020-05-29,,,26.2,88.3,10.0,16.0,20.0,22.0,,994.6,,27.6,,3.0
2020-05-30,,,26.6,88.4,11.0,16.0,11.0,14.0,,995.0,,29.0,,2.0
2020-05-31,,,26.7,83.0,10.0,17.0,12.0,15.0,,995.0,,29.5,,2.0
2020-06-01,,,26.9,84.0,11.0,16.0,11.0,16.0,,993.5,,29.0,,3.0
2020-06-02,,,26.8,69.2,9.0,16.0,13.0,16.0,,991.7,,28.8,,1.0
2020-06-03,,,26.3,83.9,9.0,15.0,11.0,14.0,,991.4,,29.1,,2.0
2020-06-04,,,26.5,83.0,10.0,16.0,11.0,14.0,,991.2,,29.3,,2.0
2020-06-05,,,26.8,86.9,11.0,17.0,12.0,16.0,,990.9,,29.2,,2.0
2020-06-06,,,26.6,82.5,11.0,16.0,12.0,14.0,99.1,990.5,,29.4,,2.0
2020-06-07,,,25.8,80.1,10.0,15.0,12.0,13.0,,988.8,,29.8,,2.0
2020-06-08,,,25.8,73.2,11.0,14.0,10.0,11.0,,988.9,,30.2,,3.0
2020-06-09,,,26.5,85.4,10.0,17.0,12.0,16.0,,991.7,,28.8,,2.0
2020-06-10,,,27.6,88.4,10.0,16.0,16.0,23.0,,993.2,,29.0,,2.0
2020-06-11,,,25.6,83.8,12.0,14.0,15.0,21.0,99.0,992.0,,28.5,,2.0
2020-06-12,,,27.4,85.7,11.0,17.0,12.0,20.0,,990.0,,29.1,,2.0
2020-06-13,,,27.4,85.9,10.0,14.0,10.0,16.0,0.2,989.2,,29.2,,2.0
2020-06-14,,,26.5,92.6,18.0,10.0,12.0,19.0,3.3,991.2,,27.2,,3.0
2020-06-15,,,25.6,100.0,16.0,14.0,9.0,16.0,12.1,993.7,,25.6,,2.0
2020-06-16,,,26.2,88.9,8.0,14.0,9.0,12.0,,992.2,,28.0,,1.0
2020-06-17,,,26.3,87.3,9.0,13.0,12.0,13.0,,990.9,,28.4,,2.0
2020-06-18,,,26.1,83.9,9.0,12.0,8.0,11.0,,991.7,,28.5,,2.0
2020-06-19,,,26.4,85.4,11.0,14.0,10.0,14.0,,992.7,,28.0,,2.0
