Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2019-12-30,185.0,0.4,,,14.2,4.0,70.0,154.0,,,4.0,,,
2019-12-31,194.0,0.3,,,12.4,4.0,75.0,152.0,,,4.0,,,
2020-01-01,241.0,0.3,,,17.9,4.0,83.0,164.0,,,4.0,,,
2020-01-02,182.0,0.3,,,16.0,3.0,68.0,144.0,,,3.0,,,
2020-01-03,107.0,2.0,18.0,69.0,15.0,3.0,44.0,82.0,,1019.0,3.0,24.0,,3.6
2020-01-04,126.0,0.3,19.0,87.5,12.0,3.0,44.0,85.0,,1019.0,2.6,21.0,,2.3
2020-01-05,136.0,0.2,19.0,88.0,11.0,4.0,47.0,84.0,,1017.0,2.0,21.0,,2.5
2020-01-06,127.0,0.3,19.0,85.5,11.5,4.0,47.0,85.0,,1016.0,2.0,22.0,11.3,4.1
2020-01-07,166.0,3.0,19.5,88.0,13.0,3.0,48.0,97.0,,1016.0,2.0,21.5,,1.8
2020-01-08,124.0,0.4,19.0,78.0,11.0,3.3,50.0,91.0,,1016.0,3.0,22.0,,3.3
2020-01-09,134.0,0.3,19.0,78.0,13.8,3.0,49.0,89.0,,1015.0,3.0,23.0,,3.0
2020-01-10,110.0,0.3,18.5,73.5,9.2,3.3,41.0,74.0,,1013.0,3.0,23.0,,4.1
2020-01-11,117.0,0.3,19.0,77.5,8.0,3.0,46.0,74.0,,1013.5,3.0,21.0,,3.6
2020-01-12,84.0,0.2,10.0,67.0,8.0,3.3,31.0,78.0,,1017.5,3.0,16.5,,3.0
2020-01-13,193.0,0.3,14.5,88.0,11.0,3.0,78.0,159.0,,1016.0,5.6,17.0,,1.2
2020-01-14,253.0,0.5,17.0,88.0,18.0,3.0,93.0,182.0,,1014.5,5.6,18.5,,1.2
2020-01-15,,0.2,19.0,80.5,8.0,5.0,35.0,82.0,,1013.0,3.0,22.5,,4.6
2020-01-16,,0.3,19.0,78.0,9.6,3.0,43.0,78.0,,1014.5,4.0,22.0,,4.3
2020-01-17,,4.0,12.0,74.5,8.0,3.7,33.0,85.0,,1019.0,4.0,16.0,,5.4
2020-01-18,,5.0,13.5,93.0,7.4,4.0,52.0,127.0,,1018.0,3.0,15.0,,3.0
2020-01-19,,0.2,11.0,76.0,6.4,5.0,31.0,78.0,,1020.0,3.0,15.0,,3.3
2020-01-20,,4.0,12.5,87.0,7.8,4.5,45.0,104.0,,1020.0,3.0,14.0,,2.0
2020-01-21,,0.3,16.0,88.0,12.4,3.3,68.0,159.0,,1019.0,4.0,18.5,,1.2
2020-01-22,,0.3,19.0,88.0,8.3,4.0,54.0,149.0,,1016.0,3.0,19.5,,2.0
2020-01-23,,0.2,20.0,85.5,6.0,5.0,31.0,78.0,,1014.0,2.0,23.0,,3.8
2020-01-24,,0.1,20.5,91.0,3.7,5.3,23.0,51.0,,1013.5,2.0,22.0,,3.3
2020-01-25,,3.0,12.0,84.5,3.2,10.0,11.0,59.0,,1013.0,2.0,17.0,,4.1
2020-01-26,,4.0,8.5,63.0,5.0,7.8,16.0,38.0,,1018.0,3.0,16.0,,3.0
2020-01-27,,4.0,7.5,62.0,5.0,6.5,21.0,57.0,,1017.0,3.0,15.0,,2.8
