Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2020-02-26,,3.0,18.9,92.3,11.0,9.0,16.0,25.0,,1004.1,13.0,20.5,,2.0
2020-02-27,,3.0,19.1,83.6,15.0,8.0,16.0,21.0,,1003.3,17.0,21.1,,1.0
2020-02-28,,3.0,20.2,93.4,11.0,14.0,16.0,20.0,,1001.9,17.0,20.6,,2.0
2020-02-29,,3.0,19.8,90.7,6.0,25.0,17.0,19.0,,999.8,17.0,20.8,,2.0
2020-03-01,,3.0,20.8,94.1,5.0,18.0,16.0,17.0,99.0,999.4,17.0,21.8,,2.0
2020-03-02,,4.0,20.6,92.3,19.0,,15.0,25.0,,1000.5,26.0,21.6,,1.0
2020-03-03,,4.0,,,7.0,,12.0,18.0,,,17.0,,,
2020-03-04,,4.0,15.7,97.5,3.0,,7.0,11.0,0.6,1003.2,19.0,16.1,,1.0
2020-03-05,,4.0,15.7,95.6,2.0,,6.0,10.0,0.4,1004.0,20.0,16.4,,2.0
2020-03-06,,5.0,17.8,96.9,12.0,,12.0,22.0,0.2,1000.8,21.0,18.3,,2.0
2020-03-07,,5.0,20.0,98.2,8.0,,14.0,26.0,99.3,997.9,19.0,20.2,,1.0
2020-03-08,,4.0,22.3,91.9,3.0,,13.0,22.0,,992.0,17.0,23.0,,2.0
2020-03-09,,5.0,22.4,96.4,17.0,,29.0,52.0,,991.1,23.0,22.7,,1.0
2020-03-10,,5.0,18.8,83.6,9.0,,20.0,28.0,,998.6,19.0,21.9,,2.0
2020-03-11,,5.0,17.9,79.9,19.0,,26.0,42.0,,1000.6,26.0,20.6,,2.0
2020-03-12,,5.0,21.3,98.2,11.0,,14.0,25.0,99.5,998.6,18.0,21.6,,1.0
2020-03-13,,,22.8,98.2,,,,,99.4,999.1,,23.2,,2.0
2020-03-14,,,20.3,97.0,,,,,0.6,1002.9,,21.2,,1.0
2020-03-15,,6.0,18.6,91.1,24.0,,39.0,69.0,99.1,1003.4,32.0,19.6,,1.0
2020-03-16,,6.0,21.1,100.0,25.0,,16.0,26.0,99.5,1001.5,23.0,21.2,,1.0
2020-03-17,,6.0,21.7,98.2,11.0,,16.0,28.0,0.4,1001.2,17.0,21.8,,2.0
2020-03-18,,5.0,20.0,97.6,11.0,,11.0,17.0,0.2,999.6,18.0,20.3,,1.0
2020-03-19,,5.0,19.8,100.0,3.0,,9.0,15.0,0.4,999.5,20.0,19.8,,2.0
2020-03-20,,8.0,19.4,98.8,15.0,,3.0,22.0,99.3,1000.1,29.0,19.6,,2.0
2020-03-21,,5.0,22.5,98.2,6.0,,1.0,,0.1,999.3,20.0,23.2,,2.0
2020-03-22,,4.0,22.9,96.4,3.0,,1.0,,99.2,998.9,17.0,23.3,,2.0
2020-03-23,,4.0,22.4,89.1,3.0,,23.0,12.0,,999.0,17.0,23.3,,2.0
2020-03-24,,4.0,22.4,90.7,4.0,,25.0,12.0,,999.0,18.0,23.5,,2.0
2020-03-25,,4.0,23.4,94.7,3.0,,24.0,12.0,99.2,997.2,17.0,24.0,,3.0
2020-03-30,,,22.7,94.1,,,,,,995.1,,23.8,,2.0
2020-03-31,,,19.3,98.8,,,,,99.4,998.5,,19.3,,2.0
2020-04-01,,,18.9,97.5,11.0,,42.0,81.0,99.1,999.0,27.0,19.6,,1.0
2020-04-02,,,20.3,98.2,16.0,,17.0,31.0,0.3,998.8,25.0,20.3,,1.0
2020-04-03,,,22.1,94.1,18.0,,28.0,52.0,99.0,999.2,37.0,22.4,,1.0
2020-04-04,,,20.6,97.0,4.0,,6.0,9.0,99.1,1002.3,23.0,20.6,,1.0
2020-04-05,,,17.0,98.7,3.0,,4.0,5.0,0.1,1004.1,23.0,17.1,,2.0
2020-04-06,,,16.1,97.5,5.0,,4.0,6.0,0.2,1002.7,24.0,16.6,,2.0
2020-04-07,,,16.8,92.8,8.0,,8.0,14.0,99.6,1001.5,23.0,17.3,,2.0
2020-04-08,,,18.2,93.9,8.0,,17.0,28.0,0.2,1001.9,12.0,18.8,,2.0
2020-04-09,,,19.2,87.8,18.0,,23.0,37.0,,1002.9,28.0,21.2,,1.0
2020-04-10,,,21.7,90.6,20.0,,20.0,34.0,,1001.5,29.0,22.6,,1.0
2020-04-11,,,22.4,90.9,16.0,,18.0,32.0,99.0,999.9,26.0,23.2,,1.0
2020-04-12,,,16.3,85.2,5.0,,11.0,16.0,,1004.6,24.0,19.0,,3.0
2020-04-13,,,13.2,89.0,7.0,,13.0,21.0,0.3,1006.1,26.0,15.0,,3.0
2020-04-14,,,13.9,81.7,13.0,,15.0,24.0,,1004.0,31.0,19.2,,3.0
2020-04-15,,,19.1,88.7,14.0,,13.0,23.0,,1000.4,27.0,21.0,,1.0
2020-04-16,,,21.0,92.3,10.0,,11.0,19.0,,998.0,24.0,22.4,,2.0
2020-04-17,,,22.3,94.7,5.0,,10.0,16.0,99.4,999.0,24.0,23.3,,2.0
2020-04-18,,,23.7,92.5,5.0,,12.0,20.0,99.1,997.7,24.0,24.5,,2.0
2020-04-19,,,24.1,93.1,3.0,,13.0,21.0,,996.9,23.0,25.0,,2.0
2020-04-20,,,24.3,93.0,2.0,,10.0,16.0,,996.7,24.0,25.4,,2.0
2020-04-21,,,24.1,93.1,1.0,,9.0,14.0,,996.0,23.0,25.2,,2.0
2020-04-22,,,23.4,90.1,14.0,,13.0,21.0,0.1,997.7,28.0,24.6,,1.0
2020-04-23,,,19.5,90.5,3.0,,5.0,8.0,0.2,1001.7,27.0,20.8,,2.0
2020-04-24,,,16.1,93.9,3.0,,4.0,7.0,0.9,1005.3,26.0,16.8,,2.0
2020-04-25,,,14.7,91.4,4.0,,9.0,13.0,,1005.7,29.0,16.0,,3.0
2020-06-04,,,26.9,83.0,,,,,,991.2,,29.7,,2.0
2020-06-05,,,26.8,86.9,,,,,,990.9,,29.2,,2.0
2020-06-06,,,26.6,82.5,,,,,99.1,990.5,,29.4,,2.0
2020-06-07,,,25.8,80.1,,,,,,988.8,,29.8,,2.0
2020-06-08,,2.0,25.8,73.2,8.0,,18.0,28.0,,988.9,20.0,30.2,,3.0
2020-06-09,,2.0,26.5,85.4,8.0,,16.0,26.0,,991.7,20.0,28.8,,2.0
2020-06-10,,2.0,27.6,88.4,8.0,,16.0,29.0,,993.2,20.0,29.0,,2.0
2020-06-11,,2.0,25.6,83.8,9.0,,17.0,30.0,99.0,992.0,20.0,28.5,,2.0
2020-06-12,,2.0,27.4,85.7,8.0,,12.0,21.0,,990.0,20.0,29.1,,2.0
2020-06-13,,2.0,27.4,85.9,6.0,,9.0,15.0,0.2,989.2,20.0,29.2,,2.0
2020-06-14,,2.0,26.5,92.6,8.0,,9.0,15.0,3.3,991.2,20.0,27.2,,3.0
2020-06-15,,2.0,25.6,100.0,9.0,,12.0,19.0,12.1,993.7,20.0,25.6,,2.0
2020-06-16,,2.0,26.2,88.9,6.0,,13.0,20.0,,992.2,20.0,28.0,,1.0
2020-06-17,,1.0,26.3,87.3,6.0,,14.0,21.0,,990.9,19.0,28.4,,2.0
2020-06-18,,1.0,26.1,83.9,5.0,,13.0,19.0,,991.7,19.0,28.5,,2.0
2020-06-19,,2.0,26.4,85.4,6.0,,12.0,19.0,,992.7,19.0,28.0,,2.0
2020-06-20,,1.0,27.2,87.5,5.0,,17.0,26.0,,992.8,19.0,29.0,,2.0
2020-06-21,,2.0,27.6,90.6,5.0,,23.0,39.0,,989.9,19.0,29.2,,2.0
2020-06-22,,2.0,27.5,85.5,6.0,16.0,22.0,13.0,,989.2,18.0,30.0,,1.0
2020-06-23,,2.0,24.0,56.5,7.0,15.0,23.0,14.0,,1000.5,13.0,32.0,,3.3
2020-06-24,,2.0,23.0,58.5,9.0,17.0,21.0,12.0,,1001.0,13.0,33.0,,2.5
2020-06-25,,2.0,26.0,79.0,10.0,15.0,19.0,14.0,2.3,1001.0,13.0,30.0,,2.5
2020-06-26,,2.0,24.0,66.0,7.0,20.0,18.0,11.0,,1001.5,12.0,31.0,11.3,3.6
2020-06-27,,2.0,24.0,66.0,4.0,18.0,18.0,13.0,,1003.0,11.0,31.0,,4.3
2020-06-28,,2.0,24.5,72.0,4.0,16.0,17.0,26.0,,1004.0,10.0,30.0,7.7,3.6
2020-06-29,,1.0,27.2,86.5,4.0,,14.0,24.0,,991.0,19.0,28.8,,2.0
2020-06-30,,1.0,27.3,84.0,5.0,,13.0,21.0,,989.5,19.0,29.2,,2.0
2020-07-01,,1.0,27.4,89.0,5.0,,13.0,20.0,,988.2,19.0,29.3,,2.0
2020-07-02,,1.0,27.7,87.3,6.0,,11.0,17.0,,988.8,19.0,29.4,,2.0
2020-07-03,,1.0,27.0,87.4,7.0,,10.0,15.0,,991.6,19.0,28.6,,2.0
2020-07-04,,1.0,26.6,87.5,7.0,,11.0,16.0,1.4,992.4,19.0,28.3,,2.0
2020-07-05,,1.0,26.7,85.5,5.0,,11.0,16.0,,991.2,19.0,28.8,,2.0
2020-07-06,,1.0,27.2,88.4,5.0,,19.0,29.0,,991.4,19.0,29.3,,2.0
2020-07-07,,1.0,27.2,87.5,5.0,,29.0,45.0,,993.0,19.0,29.2,,2.0
2020-07-08,,3.0,27.2,78.7,6.0,,20.0,31.0,,991.2,20.0,29.8,,1.0
2020-07-09,,4.0,26.9,79.8,6.0,,20.0,29.0,,988.2,17.0,31.0,,2.0
2020-07-10,,4.0,27.0,80.3,6.0,,23.0,31.0,,987.7,16.0,29.4,,2.0
2020-07-11,,4.0,27.5,79.9,10.0,,20.0,32.0,0.5,989.3,21.0,30.2,,2.0
2020-07-12,,4.0,27.7,85.0,6.0,,16.0,27.0,,990.4,16.0,29.0,,2.0
2020-07-13,,4.0,27.3,87.0,5.0,,13.0,22.0,,992.0,17.0,29.2,,2.0
2020-07-14,,4.0,27.3,85.0,7.0,,14.0,24.0,,993.8,23.0,29.5,,1.0
2020-07-15,,4.0,27.3,85.0,6.0,,12.0,18.0,,992.3,19.0,29.2,,1.0
2020-07-16,,3.0,26.9,86.4,5.0,,13.0,21.0,,991.7,19.0,29.4,,2.0
2020-07-17,,3.0,26.8,81.6,5.0,,13.0,22.0,,992.0,19.0,29.8,,2.0
2020-07-18,,3.0,27.3,89.0,5.0,,14.0,24.0,,992.4,19.0,29.4,,2.0
2020-07-19,,3.0,27.7,90.1,6.0,,15.0,26.0,,992.0,19.0,29.4,,2.0
2020-07-20,,3.0,27.5,90.6,6.0,,14.0,24.0,,992.6,19.0,29.2,,2.0
2020-07-21,,3.0,26.4,83.4,5.0,,9.0,15.0,,994.9,19.0,29.2,,2.0
2020-07-22,,3.0,26.3,81.9,6.0,,9.0,16.0,,994.8,19.0,28.3,,2.0
2020-07-23,,3.0,26.1,83.9,6.0,,9.0,14.0,,994.8,19.0,28.5,,2.0
2020-07-24,,3.0,26.3,80.1,6.0,,8.0,14.0,,994.9,19.0,29.2,,1.0
2020-07-25,,3.0,26.8,85.0,5.0,,8.0,12.0,,994.2,19.0,28.8,,1.0
2020-07-26,,3.0,26.9,80.6,5.0,,10.0,17.0,,992.6,19.0,29.0,,1.0
2020-07-27,,4.0,26.3,90.5,10.0,,20.0,35.0,,991.2,19.0,28.1,,1.0
2020-07-28,,4.0,25.8,82.1,11.0,,18.0,28.0,0.3,992.6,19.0,28.3,,1.0
2020-07-29,,4.0,27.0,85.5,7.0,,13.0,19.0,,992.4,20.0,29.2,,2.0
2020-07-30,,4.0,26.8,88.4,9.0,,16.0,23.0,2.3,992.5,20.0,29.2,,1.0
2020-07-31,,4.0,26.7,86.5,8.0,,17.0,23.0,1.5,990.4,20.0,29.0,,2.0
2020-08-01,,3.0,24.4,85.7,4.0,,8.0,9.0,99.1,985.0,20.0,27.1,,4.0
2020-08-02,,3.0,24.7,98.2,3.0,,5.0,7.0,4.5,984.1,20.0,25.3,,2.0
2020-08-03,,4.0,25.2,98.2,7.0,,8.0,11.0,1.6,986.6,20.0,26.0,,2.0
2020-08-04,,4.0,25.5,98.2,11.0,,11.0,14.0,1.0,988.1,20.0,25.7,,2.0
2020-08-05,,4.0,25.8,96.5,8.0,,10.0,14.0,0.4,990.5,20.0,26.4,,2.0
2020-08-06,,4.0,25.7,98.2,9.0,,9.0,14.0,5.6,992.6,20.0,26.0,,2.0
2020-08-07,,3.0,26.2,91.0,6.0,,15.0,22.0,99.1,993.0,20.0,27.6,,3.0
2020-08-08,,3.0,26.0,91.0,5.0,,14.0,18.0,3.5,991.8,20.0,27.6,,2.0
2020-08-09,,4.0,26.7,89.0,5.0,,13.0,18.0,,990.6,20.0,28.6,,2.0
2020-08-10,,4.0,27.8,88.0,4.0,,15.0,22.0,,989.5,20.0,29.5,,2.0
2020-08-11,,4.0,27.3,88.5,6.0,,14.0,19.0,1.7,989.4,20.0,29.5,,3.0
2020-08-12,,3.0,26.8,83.8,5.0,,17.0,24.0,,991.1,20.0,29.0,,2.0
2020-08-13,,4.0,24.9,94.8,9.0,,11.0,17.0,5.1,992.9,20.0,25.8,,2.0
2020-08-14,,4.0,24.6,98.8,8.0,,11.0,17.0,3.3,993.6,20.0,25.2,,2.0
2020-08-15,,4.0,25.4,95.9,8.0,,12.0,18.0,0.9,992.7,20.0,26.4,,3.0
2020-08-16,,4.0,25.7,90.5,7.0,,22.0,30.0,0.1,991.6,20.0,27.4,,2.0
2020-08-17,,4.0,24.8,96.5,7.0,,1.0,8.0,6.2,992.0,20.0,25.4,,2.0
2020-08-18,,4.0,24.5,95.4,7.0,,1.0,,7.8,992.1,20.0,24.8,,1.0
2020-08-19,,4.0,24.7,89.9,8.0,,1.0,,99.5,991.9,20.0,26.4,,1.0
2020-08-20,,4.0,25.4,93.1,9.0,,18.0,18.0,,993.4,17.0,26.1,,2.0
2020-08-21,,4.0,25.5,93.2,8.0,,14.0,17.0,1.0,995.1,17.0,26.8,,1.0
2020-08-22,,4.0,25.9,91.0,7.0,,13.0,14.0,0.3,995.2,17.0,27.5,,2.0
2020-08-23,,3.0,26.0,85.8,6.0,,12.0,14.0,,993.7,17.0,28.1,,2.0
2020-08-24,,3.0,27.0,84.9,5.0,,13.0,15.0,,992.1,17.0,29.4,,2.0
2020-08-25,,4.0,25.5,84.3,12.0,,23.0,31.0,,990.1,18.0,28.4,,2.0
2020-08-26,,4.0,25.8,83.9,10.0,,25.0,34.0,,988.8,18.0,28.1,,2.0
2020-08-27,,4.0,27.4,88.5,10.0,,22.0,32.0,,987.5,18.0,29.1,,2.0
2020-08-28,,4.0,27.6,90.1,5.0,,15.0,19.0,,988.9,17.0,29.1,,2.0
2020-08-29,,3.0,27.3,85.4,7.0,,17.0,20.0,,990.8,17.0,29.0,,1.0
2020-08-30,,4.0,27.0,85.9,7.0,,17.0,22.0,,992.1,17.0,28.9,,1.0
2020-08-31,,3.0,26.6,81.6,8.0,,20.0,27.0,,993.3,18.0,29.9,,2.0
2020-09-01,,5.0,26.0,84.3,8.0,,34.0,50.0,,994.0,18.0,28.3,,3.0
2020-09-02,,5.0,26.4,80.1,7.0,,25.0,39.0,,994.1,18.0,29.4,,2.0
2020-09-03,,5.0,26.4,79.7,8.0,,25.0,37.0,,994.7,17.0,30.3,,1.0
2020-09-04,,4.0,27.0,86.4,8.0,,19.0,27.0,0.3,994.7,17.0,29.0,,2.0
2020-09-05,,4.0,26.7,84.0,6.0,,12.0,17.0,,993.4,17.0,29.7,,2.0
2020-09-06,,3.0,27.2,84.7,4.0,,10.0,14.0,,991.4,17.0,29.6,,2.0
2020-09-07,,4.0,25.2,88.9,6.0,,14.0,19.0,0.2,991.8,18.0,26.6,,2.0
2020-09-08,,4.0,25.5,91.5,12.0,,19.0,27.0,99.0,995.4,19.0,27.1,,2.0
2020-09-09,,3.0,25.3,93.7,9.0,,10.0,13.0,1.3,995.5,17.0,26.7,,1.0
2020-09-10,,3.0,26.0,92.1,8.0,,12.0,16.0,1.1,992.8,17.0,27.4,,1.0
2020-09-11,,4.0,27.3,93.8,8.0,,2.0,8.0,99.6,993.1,17.0,28.4,,2.0
2020-09-12,,3.0,27.3,93.8,7.0,,2.0,,0.2,995.6,17.0,28.4,,2.0
2020-09-13,,3.0,26.6,92.1,14.0,,2.0,,0.2,997.5,17.0,27.8,,2.0
2020-09-14,,4.0,26.3,87.3,7.0,,25.0,34.0,,996.3,16.0,27.9,,1.0
2020-09-15,,4.0,26.2,89.5,10.0,,23.0,32.0,99.9,994.6,16.0,27.4,,2.0
2020-09-16,,4.0,26.5,87.0,6.0,,20.0,26.0,99.0,993.2,16.0,28.3,,2.0
2020-09-17,,3.0,26.5,85.0,8.0,,26.0,37.0,,991.8,16.0,28.2,,1.0
2020-09-18,,4.0,23.3,85.0,3.0,,10.0,11.0,1.0,992.0,16.0,25.6,,4.0
2020-09-19,,4.0,23.8,98.2,3.0,,8.0,10.0,4.6,994.7,16.0,24.2,,3.0
2020-09-20,,4.0,24.6,97.1,6.0,,11.0,15.0,1.2,995.9,17.0,24.9,,1.0
2020-09-21,,4.0,25.0,94.8,6.0,,14.0,20.0,99.3,995.9,16.0,27.3,,1.0
2020-09-22,,4.0,26.6,94.9,6.0,,12.0,16.0,0.2,995.3,16.0,27.1,,2.0
2020-09-23,,4.0,25.5,94.2,7.0,,13.0,19.0,0.4,996.2,16.0,26.1,,2.0
2020-09-24,,4.0,25.4,93.2,6.0,,20.0,26.0,0.3,997.6,17.0,26.6,,1.0
2020-09-25,,4.0,25.6,93.1,9.0,,25.0,38.0,0.2,995.5,17.0,26.8,,2.0
2020-09-26,,4.0,26.1,92.7,9.0,,19.0,27.0,0.6,993.3,16.0,27.3,,2.0
2020-09-27,,4.0,26.3,91.5,7.0,,22.0,33.0,0.2,994.7,17.0,27.3,,1.0
2020-09-28,,4.0,25.3,91.5,5.0,,19.0,29.0,1.2,995.5,17.0,26.4,,1.0
2020-09-29,,4.0,25.6,87.3,6.0,,27.0,39.0,,994.1,18.0,27.5,,1.0
2020-09-30,,4.0,26.3,90.5,7.0,,20.0,26.0,,992.4,17.0,28.0,,2.0
2020-10-01,,4.0,25.1,93.1,8.0,,20.0,33.0,2.3,993.8,17.0,26.2,,1.0
2020-10-02,,5.0,25.5,93.2,6.0,,17.0,24.0,3.4,994.6,17.0,26.9,,1.0
2020-10-03,,4.0,25.6,96.5,7.0,,18.0,24.0,0.9,995.9,17.0,25.9,,1.0
2020-10-04,,4.0,25.8,93.2,7.0,,22.0,28.0,1.3,995.9,18.0,26.5,,2.0
2020-10-05,,4.0,25.4,81.3,8.0,,28.0,40.0,,996.3,17.0,26.7,,1.0
2020-10-06,,4.0,23.7,81.6,2.0,,22.0,33.0,,998.5,17.0,26.0,,2.0
2020-10-07,,4.0,21.9,78.8,2.0,,23.0,37.0,,1000.1,18.0,23.3,,2.0
2020-10-08,,4.0,19.3,76.3,3.0,,19.0,27.0,,1000.6,19.0,22.3,,2.0
2020-10-09,,4.0,19.4,79.2,3.0,,16.0,21.0,,1001.7,19.0,21.8,,2.0
2020-10-10,,4.0,17.6,76.3,2.0,,20.0,30.0,,999.8,,21.1,,2.0
2020-10-11,,4.0,18.6,77.9,3.0,,25.0,39.0,,997.3,17.0,21.8,,3.0
2020-10-12,,4.0,21.0,70.6,3.0,,34.0,50.0,,995.6,19.0,26.0,,3.0
2020-10-13,,4.0,21.1,76.7,2.0,,32.0,48.0,,994.4,18.0,25.2,,3.0
2020-10-14,,4.0,21.5,98.2,2.0,,4.0,4.0,3.6,991.6,18.0,22.2,,4.0
2020-10-15,,4.0,22.7,98.2,3.0,,5.0,6.0,2.6,996.1,17.0,23.0,,3.0
