Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2019-12-30,,11.0,,,8.0,11.0,39.0,67.0,,,6.0,,,
2019-12-31,,9.0,,,6.0,10.0,10.0,17.0,,,5.0,,,
2020-01-01,,5.0,,,4.0,11.0,13.0,18.0,,,5.0,,,
2020-01-02,,6.0,,,5.0,10.0,17.0,26.0,,,5.0,,,
2020-01-03,,9.0,22.0,91.0,6.0,9.0,18.0,29.0,,1019.0,5.0,23.0,,1.5
2020-01-04,,6.0,20.5,88.0,6.0,8.0,17.0,22.0,,1018.0,5.0,21.5,,1.5
2020-01-05,,6.0,20.5,85.5,4.0,9.0,18.0,24.0,,1017.0,5.0,23.0,,2.0
2020-01-06,,6.0,21.0,83.0,4.0,9.0,22.0,29.0,,1016.0,5.0,24.0,,1.5
2020-01-07,,7.0,22.0,83.0,4.0,8.0,21.0,27.0,,1015.5,5.0,25.0,,2.0
2020-01-08,,7.0,21.5,83.0,3.0,10.0,23.0,26.0,,1016.0,5.0,25.0,,2.0
2020-01-09,,7.0,21.0,80.5,3.0,9.0,24.0,30.0,,1015.0,5.0,24.5,,2.0
2020-01-10,,8.0,20.5,83.0,4.0,8.0,26.0,39.0,,1014.0,5.0,24.0,,2.0
2020-01-11,,8.0,21.0,85.5,1.0,8.0,30.0,40.0,,1013.0,5.0,24.0,,1.2
2020-01-12,,7.0,21.0,83.0,,9.0,21.0,27.0,,1014.5,5.0,24.0,,1.8
2020-01-13,,7.0,20.0,83.0,1.0,9.0,26.0,36.0,,1014.0,5.0,23.0,,2.3
2020-01-14,,8.0,18.5,78.0,1.0,10.0,11.0,21.0,,1015.0,5.0,23.0,,1.8
2020-01-15,,7.0,19.0,83.0,,10.0,8.0,17.0,,1014.0,5.0,23.0,,1.2
2020-01-16,,8.0,19.5,83.0,14.0,9.0,32.0,39.0,,1014.0,5.0,25.0,,1.8
2020-01-17,,8.0,20.5,83.0,14.0,5.0,9.0,6.0,,1017.0,5.0,23.0,,1.2
2020-01-18,,8.0,19.0,78.0,14.0,5.0,24.0,33.0,,1016.5,5.0,23.5,,1.8
2020-01-19,,8.0,19.0,75.5,14.0,5.0,20.0,30.0,,1017.0,5.0,23.0,,1.2
2020-01-20,,9.0,18.5,78.0,14.0,5.0,25.0,34.0,,1018.0,5.0,23.0,,2.0
2020-01-21,,8.0,19.0,78.0,14.0,5.0,24.0,29.0,,1018.5,5.0,23.5,,1.8
2020-01-22,,10.0,20.0,80.5,14.0,5.0,26.0,34.0,,1016.5,5.0,24.0,,2.5
2020-01-23,,8.0,21.0,88.0,14.0,5.0,31.0,42.0,,1014.5,5.0,23.5,,1.8
2020-01-24,,9.0,21.5,88.0,14.0,5.0,31.0,48.0,,1014.0,5.0,24.0,,2.0
2020-01-25,,7.0,21.5,85.5,14.0,5.0,27.0,36.0,,1012.0,5.0,24.5,,1.2
2020-01-26,,7.0,18.0,93.0,14.0,5.0,5.0,8.0,,1015.0,5.0,19.5,,5.1
2020-01-27,,9.0,17.5,93.0,14.0,5.0,8.0,13.0,,1015.0,5.0,18.0,,2.8
2020-01-28,,8.0,18.0,96.5,14.0,5.0,5.0,10.0,,1016.0,5.0,18.5,,2.8
2020-01-29,,7.0,17.0,100.0,14.0,5.0,3.0,6.0,,1019.0,5.0,18.0,,3.8
2020-01-30,,10.0,16.0,88.0,14.0,5.0,24.0,20.0,,1020.0,5.0,18.0,,3.6
2020-01-31,,9.0,17.0,82.0,14.0,5.0,27.0,54.0,,1019.0,5.0,21.0,,1.8
2020-02-01,,7.0,18.0,73.0,14.0,5.0,19.0,26.0,,1018.0,5.0,22.5,,3.3
2020-02-02,,6.0,18.0,83.0,14.0,5.0,17.0,28.0,,1018.0,,22.0,,1.5
2020-02-03,,8.0,19.0,83.0,14.0,5.0,19.0,27.0,,1017.0,,22.5,,2.0
2020-02-04,,7.0,19.5,85.5,14.0,5.0,24.0,30.0,,1016.0,,23.0,,1.5
2020-02-05,,6.0,19.0,83.0,13.0,5.0,22.0,29.0,,1016.5,,22.0,,2.0
2020-02-06,,7.0,17.5,80.0,14.0,5.0,23.0,29.0,,1016.0,,22.5,,1.8
2020-02-07,,7.0,19.5,78.0,13.0,5.0,24.0,35.0,,1017.0,,24.0,,1.8
2020-02-08,,6.0,20.5,83.0,14.0,6.0,20.0,23.0,,1020.0,,24.0,,3.0
2020-02-09,,5.0,20.0,80.5,13.0,7.0,20.0,24.0,,1021.5,,23.0,,4.1
2020-02-10,,9.0,,,14.0,6.0,22.0,29.0,,,,,,
2020-02-11,,9.0,,,13.0,5.0,25.0,36.0,,,,,,
2020-02-12,,8.0,,,13.0,5.0,29.0,41.0,,,,,,
2020-02-13,,9.0,,,13.0,5.0,25.0,32.0,,,,,,
2020-02-14,,10.0,,,13.0,5.0,34.0,47.0,,,,,,
2020-02-15,,8.0,,,13.0,5.0,34.0,47.0,,,,,,
2020-02-16,,7.0,,,13.0,5.0,21.0,30.0,,,,,,
2020-02-17,,8.0,,,14.0,5.0,6.0,11.0,,,,,,
2020-02-18,,8.0,,,14.0,6.0,2.0,1.0,,,,,,
2020-02-19,,8.0,,,14.0,6.0,15.0,25.0,,,,,,
2020-02-20,,7.0,,,14.0,5.0,31.0,40.0,,,,,,
2020-02-21,,7.0,,,14.0,5.0,29.0,39.0,,,,,,
2020-02-22,,7.0,,,14.0,5.0,28.0,37.0,,,,,,
2020-02-23,,7.0,,,14.0,5.0,26.0,34.0,,,,,,
2020-02-24,,6.0,,,14.0,6.0,23.0,32.0,,,,,,
2020-02-25,,7.0,,88.0,13.0,5.0,23.0,26.0,,1016.5,,23.0,,2.3
2020-02-26,,6.0,22.0,88.0,14.0,5.0,17.0,23.0,,1016.5,,24.0,,2.0
2020-02-27,,6.0,22.0,88.0,14.0,5.0,16.0,19.0,,1016.0,,24.0,,2.3
2020-02-28,,5.0,21.0,85.5,13.0,5.0,12.0,16.0,,1015.0,,24.5,,2.0
2020-02-29,,8.0,22.0,88.0,14.0,5.0,17.0,24.0,,1013.0,,25.0,,1.5
2020-03-01,,6.0,23.0,88.0,13.0,5.0,17.0,23.0,,1013.0,,25.0,,1.5
2020-03-02,,7.0,23.0,83.0,14.0,5.0,22.0,29.0,,1013.0,,25.5,,2.8
2020-03-03,,5.0,21.0,94.0,13.0,5.0,11.0,16.0,,1013.0,,23.0,,0.5
2020-03-04,,6.0,22.5,85.5,13.0,5.0,16.0,17.0,,1015.0,,25.0,,4.6
