Date,City,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2019-12-30,Ha Long,186.0,5.846153846153846,21.307608695652174,87.35190217391305,29.0,7.0,63.0,124.0,,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2019-12-30,Ha Noi,185.0,0.4,18.76287262872629,72.48915989159892,14.2,4.0,70.0,154.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2019-12-30,Ho Chi Minh,168.0,,23.1260162601626,76.9390243902439,,,,89.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2019-12-30,Hue,157.0,11.0,22.371830985915494,82.34129213483146,8.0,11.0,39.0,67.0,,1011.3019662921348,6.0,25.542134831460675,,2.265730337078652
2019-12-31,Ha Long,178.0,5.846153846153846,21.307608695652174,87.35190217391305,31.0,6.0,64.0,108.0,99.2,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2019-12-31,Ha Noi,194.0,0.3,18.76287262872629,72.48915989159892,12.4,4.0,75.0,152.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2019-12-31,Ho Chi Minh,165.0,,23.1260162601626,76.9390243902439,,,,82.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2019-12-31,Hue,61.0,9.0,22.371830985915494,82.34129213483146,6.0,10.0,10.0,17.0,,1011.3019662921348,5.0,25.542134831460675,,2.265730337078652
2020-01-01,Ha Long,165.0,5.846153846153846,21.307608695652174,87.35190217391305,26.0,6.0,52.0,83.0,99.1,998.2763586956522,14.181818181818182,23.30570652173913,,1.8283378746594006
2020-01-01,Ha Noi,241.0,0.3,18.76287262872629,72.48915989159892,17.9,4.0,83.0,164.0,,1011.5983739837399,4.0,24.056910569105693,,2.8048780487804876
2020-01-01,Ho Chi Minh,161.0,,23.1260162601626,76.9390243902439,,,,74.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2020-01-01,Hue,63.0,5.0,22.371830985915494,82.34129213483146,4.0,11.0,13.0,18.0,,1011.3019662921348,5.0,25.542134831460675,,2.265730337078652
2020-01-02,Ha Long,134.0,5.846153846153846,19.3,95.7,21.0,8.0,31.0,49.0,99.0,1007.8,14.181818181818182,20.0,,2.0
2020-01-02,Ha Noi,182.0,0.3,18.76287262872629,72.48915989159892,16.0,3.0,68.0,144.0,,1011.5983739837399,3.0,24.056910569105693,,2.8048780487804876
2020-01-02,Ho Chi Minh,163.0,,23.1260162601626,76.9390243902439,,,,78.0,,1008.630081300813,,27.644986449864497,,2.37479674796748
2020-01-02,Hue,80.0,6.0,22.371830985915494,82.34129213483146,5.0,10.0,17.0,26.0,,1011.3019662921348,5.0,25.542134831460675,,2.265730337078652
2020-01-03,Ha Long,132.0,5.846153846153846,19.2,92.3,25.0,10.0,35.0,48.0,,1007.2,14.181818181818182,20.4,,2.0
2020-01-03,Ha Noi,107.0,2.0,18.0,69.0,15.0,3.0,44.0,82.0,,1019.0,3.0,24.0,,3.6
2020-01-03,Ho Chi Minh,166.0,,20.0,56.0,,,,85.0,,1012.0,,29.5,,2.0
